,DBO,DBQ,Nitrogeno,Oxigeno,Turbidez,Coliformes
DBO,1.0,0.9637027271949388,0.7341309567119171,0.8937016280922814,0.9770028856677185,0.12758333189384324
DBQ,0.9637027271949388,1.0,0.7594107224329564,0.9375045259498467,0.9062417649710353,0.11989538084906755
Nitrogeno,0.7341309567119171,0.7594107224329564,1.0,0.5777827824387906,0.7463699991887467,-0.216318276860848
Oxigeno,0.8937016280922814,0.9375045259498467,0.5777827824387906,1.0,0.8387856784298344,0.31819783974344834
Turbidez,0.9770028856677185,0.9062417649710353,0.7463699991887467,0.8387856784298344,1.0,0.062148423695500145
Coliformes,0.12758333189384324,0.11989538084906755,-0.216318276860848,0.31819783974344834,0.062148423695500145,1.0
