,DBO,DBQ,Nitrogeno,Oxigeno,Turbidez,Coliformes
PC1,-0.4725107805764497,-0.47079207298441483,-0.30520252431489836,-0.4576100714894729,-0.4567324489109234,-0.20959078698529757
PC2,-0.025461494889998933,-0.008382582890262669,0.6105765550619008,-0.16287070809981732,0.13976650676861563,-0.7618504912511113
